STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
56,00000000000C810,1,6,1,00101,0,05,013,0,'SHOTGUN   CREEK         ',,'IRR BIA RTE   101 ','15.3 KM   SE OF MAIL CAMP',99.99,8.9,0,0000000000,0,43272580,108441500,97,3,62,62,06,1951,1,0,30,2011,1,3.8,0,15,0,0,0,0,0,5,0,0,0,P,1,5,7,02,0,00,3,0,4,5.8,17.7,0.2,0.2,4.2,4.7,99.99,N,0,N,0,0,6,6,5,5,N,5,27.6,5,20.1,5,5,N,1,5,6,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,3,,0,1,0,8,6,0,9,10,0,,Y,6,35,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,54,0
56,00000000000C814,1,6,1,00046,0,05,013,0,'SUB AGENCY DITCH        ',,'IRR BIA RTE   46  ','14.5 KM   SW OF RIVERTON ',99.99,0.5,0,0000000000,0,42580730,108295640,6,3,62,62,06,1970,2,0,300,2011,4,7.8,0,0,0,1,1,0,0,5,0,0,0,P,1,5,1,22,0,00,1,0,8.2,9.1,9.8,0.1,0.1,8.6,9.8,99.99,N,0,N,0,0,7,7,7,5,N,5,34.7,5,24.5,6,6,N,3,6,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,2,6,0,8,12,0,,Y,6,350,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,91.7,0
56,00000000000C815,1,6,1,00046,0,05,013,0,'SUB AGENCY DITCH        ',,'IRR BIA RTE 46    ','11.3 KM SW OF RIVERTON   ',99.99,5.8,0,0000000000,0,42582760,108274420,10,3,62,62,06,1970,2,0,300,2011,4,6.6,0,0,0,1,1,0,0,5,0,0,0,P,1,5,1,22,0,00,1,0,7.9,9.1,9.8,0.1,0.1,8.6,9.8,99.99,N,0,N,0,0,7,7,7,5,N,5,33.1,5,22.9,6,6,N,2,8,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,2,6,0,8,15,0,,Y,6,334,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,89.3,0
56,00000000000C827,1,6,1,00101,0,05,013,0,'LOWER MUDDY CREEK       ',,'IRR BIA RTE 101   ','0.8 KM SW OF JCT 18 & 101',99.99,40.9,0,0000000000,0,43253510,108411520,48,3,62,62,06,1977,2,0,50,2011,6,7,0,0,0,1,1,0,0,5,0,0,0,A,1,5,5,02,0,00,1,0,9.1,22.9,23.6,0,0,9.7,10.4,99.99,N,0,N,0,0,6,7,6,6,N,5,47.3,5,35.6,6,7,N,5,8,6,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,6,0,0,10,0,,Y,6,59,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,98.9,0
56,00000000000C828,1,6,1,00140,0,05,013,0,'CROW CREEK              ',,'IRR BIA RTE 140   ','0.8 KM NE OF JCT 23 & 140',99.99,1.3,0,0000000000,0,43292530,109152230,11,3,62,62,09,1977,2,0,5,2011,4,4.6,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,02,0,00,1,0,4.6,13.7,14.5,0,0,9.6,10.4,99.99,N,0,N,0,0,7,7,7,5,N,5,45,5,33.3,7,7,N,5,7,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,1,0,0,10,0,,Y,6,7,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,98,0
56,00000000000C829,1,6,1,00101,0,05,013,0,'FIVE MILE CREEK         ',,'IRR BIA RTE 101   ','0.8 KM NE OF JCT 22 & 101',99.99,51,0,0000000000,0,43201800,108440470,15,3,62,62,06,1977,2,0,50,2011,5,7,0,15,0,1,0,0,0,5,0,0,0,A,1,5,5,02,0,00,1,0,9.1,18.3,19,0,0,9.8,10.4,99.99,N,0,N,0,0,7,7,7,8,N,5,46.6,5,32.6,7,8,N,5,8,8,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,6,0,0,10,0,,Y,6,59,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,98,0
56,00000000000C830,1,6,1,00016,0,05,013,0,'COOLIDGE  CANAL         ',,'IRR BIA RTE 16    ','11.3KM EAST OF WIND RIVER',99.99,1,0,0000000000,0,42512460,108474660,13,3,62,62,06,1979,2,0,300,2011,5,7,0,16,0,1,1,0,0,5,0,0,0,A,1,5,5,02,0,00,1,0,8.5,9.1,9.8,0,0,9.8,10.4,99.99,N,0,N,0,0,7,7,7,7,N,5,48.9,5,36.6,7,7,N,5,8,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,6,0,8,10,0,,Y,6,351,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,98.8,0
56,00000000000C831,1,6,1,00101,0,05,013,0,'MUDDY CREEK             ',,'IRR BIA RTE 101   ','4 KM SOUTH OF MAIL CAMP  ',99.99,20.3,0,0000000000,0,43301790,108505030,40,3,62,62,06,1975,2,0,90,2011,5,7.8,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,00,1,0,9.1,7.6,7.6,0,0,9.1,9.1,99.99,N,0,N,0,0,N,N,N,5,6,5,44.1,5,32.4,6,7,N,5,6,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,N,N,N,N,15,0,,Y,6,105,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,96.8,0
56,00000000000C832,1,6,1,00025,0,05,013,0,'TROUT CREEK IRRIG CANAL ',,'IRR BIA RTE 25    ','AT WIND RIVER            ',99.99,1,0,0000000000,0,42592810,108510640,10,3,62,62,06,1984,2,0,40,2011,6,7.2,0,0,0,1,1,0,1,5,0,0,0,A,1,5,5,02,0,00,1,0,9.1,12.2,12.9,0,0,9.6,10.4,99.99,N,0,N,0,0,7,7,7,7,N,5,49.3,5,37.4,7,7,N,5,8,7,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,1,1,0,8,10,0,,Y,6,47,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,100,0
56,00000000000C833,1,6,1,00011,0,05,013,0,'POPO AGIE RIVER         ',,'IRR BIA RTE 11    ','5.0 KM EAST OF MILFORD   ',99.99,0.2,0,0000000000,0,42513360,108413960,23,3,62,62,06,1992,2,0,90,2011,6,7.2,0,0,0,0,0,1,1,5,0,0,0,A,1,5,5,04,0,00,1,0,7.2,18.3,18.8,0,0,7.2,7.9,99.99,N,0,N,0,0,7,7,6,7,N,5,48.4,5,38.1,6,5,N,5,8,5,,,0,1011,24,N  ,N  ,N  ,,,,0,0,0,2011,,0,,0,N,2,,0,1,0,2,1,0,0,10,0,,Y,6,105,2031,0,Y,6/7/2012,B,Z ,,,,,,,,,0,,96.9,0
